County FIPS Code,State,County Name,No CSR,Yes CSR,Total Plan Selections
18061,IN,Harrison County,421,561,982
18063,IN,Hendricks County,2915,2414,5329
18065,IN,Henry County,695,678,1373
18067,IN,Howard County,964,941,1905
18069,IN,Huntington County,602,476,1078
18071,IN,Jackson County,682,714,1396
18073,IN,Jasper County,471,515,986
18075,IN,Jay County,313,407,720
18077,IN,Jefferson County,397,577,974
18079,IN,Jennings County,375,529,904
18081,IN,Johnson County,2755,2531,5286
18083,IN,Knox County,608,441,1049
18085,IN,Kosciusko County,1773,1394,3167
18087,IN,LaGrange County,439,343,782
18089,IN,Lake County,6965,9168,16133
18091,IN,LaPorte County,1660,1881,3541
18093,IN,Lawrence County,670,776,1446
18095,IN,Madison County,1980,2218,4198
18097,IN,Marion County,18415,18535,36950
18099,IN,Marshall County,1004,914,1918
18101,IN,Martin County,163,168,331
18103,IN,Miami County,448,464,912
18105,IN,Monroe County,2642,2573,5215
18107,IN,Montgomery County,629,535,1164
18109,IN,Morgan County,1270,1104,2374
18111,IN,Newton County,234,258,492
18113,IN,Noble County,665,661,1326
18115,IN,Ohio County,57,95,152
18117,IN,Orange County,240,338,578
18119,IN,Owen County,352,435,787
18121,IN,Parke County,268,271,539
18123,IN,Perry County,252,262,514
18125,IN,Pike County,157,186,343
18127,IN,Porter County,2612,2706,5318
18129,IN,Posey County,405,377,782
18131,IN,Pulaski County,259,201,460
18133,IN,Putnam County,459,553,1012
18135,IN,Randolph County,357,407,764
18137,IN,Ripley County,504,428,932
18139,IN,Rush County,421,365,786
18141,IN,St. Joseph County,4648,5074,9722
18143,IN,Scott County,295,376,671
18145,IN,Shelby County,810,710,1520
18147,IN,Spencer County,307,355,662
18149,IN,Starke County,410,532,942
18151,IN,Steuben County,619,543,1162
18153,IN,Sullivan County,249,299,548
18155,IN,Switzerland County,120,134,254
18157,IN,Tippecanoe County,2466,2169,4635
18159,IN,Tipton County,251,239,490
18161,IN,Union County,89,105,194
18163,IN,Vanderburgh County,3084,3702,6786
18165,IN,Vermillion County,263,262,525
18167,IN,Vigo County,1503,1910,3413
18169,IN,Wabash County,501,528,1029
18171,IN,Warren County,121,140,261
18173,IN,Warrick County,1238,1146,2384
18175,IN,Washington County,407,638,1045
18177,IN,Wayne County,797,798,1595
18179,IN,Wells County,474,364,838
18181,IN,White County,442,356,798
18183,IN,Whitley County,615,447,1062
20001,KS,Allen County,154,287,441
20003,KS,Anderson County,123,158,281
20005,KS,Atchison County,213,238,451
20007,KS,Barber County,56,63,119
20009,KS,Barton County,339,440,779
20011,KS,Bourbon County,183,358,541
20013,KS,Brown County,141,130,271
20015,KS,Butler County,868,944,1812
20017,KS,Chase County,34,66,100
20019,KS,Chautauqua County,69,76,145
20021,KS,Cherokee County,173,337,510
20023,KS,Cheyenne County,32,32,64
20025,KS,Clark County,21,21,42
20027,KS,Clay County,94,141,235
20029,KS,Cloud County,124,169,293
20031,KS,Coffey County,131,164,295
20033,KS,Comanche County,24,41,65
20035,KS,Cowley County,408,452,860
20037,KS,Crawford County,403,591,994
20039,KS,Decatur County,40,80,120
20041,KS,Dickinson County,245,419,664
20043,KS,Doniphan County,94,129,223
20045,KS,Douglas County,2439,2508,4947
20047,KS,Edwards County,45,55,100
20049,KS,Elk County,38,84,122
20051,KS,Ellis County,292,431,723
20053,KS,Ellsworth County,52,101,153
20055,KS,Finney County,349,626,975
20057,KS,Ford County,278,417,695
20059,KS,Franklin County,427,640,1067
20061,KS,Geary County,193,312,505
20063,KS,Gove County,48,42,90
20065,KS,Graham County,27,40,67
20067,KS,Grant County,69,97,166
20069,KS,Gray County,70,62,132
20071,KS,Greeley County,25,18,43
20073,KS,Greenwood County,89,142,231
20075,KS,Hamilton County,41,42,83
20077,KS,Harper County,67,84,151
20079,KS,Harvey County,480,510,990
20081,KS,Haskell County,66,60,126
20083,KS,Hodgeman County,29,40,69
20085,KS,Jackson County,150,218,368
20087,KS,Jefferson County,276,323,599
20089,KS,Jewell County,46,56,102
20091,KS,Johnson County,13236,12225,25461
20093,KS,Kearny County,43,53,96
20095,KS,Kingman County,105,121,226
20097,KS,Kiowa County,30,43,73
20099,KS,Labette County,178,342,520
20101,KS,Lane County,11,25,36
20103,KS,Leavenworth County,1024,1148,2172
20105,KS,Lincoln County,30,76,106
20107,KS,Linn County,145,244,389
20109,KS,Logan County,55,27,82
20111,KS,Lyon County,438,822,1260
20113,KS,McPherson County,318,452,770
20115,KS,Marion County,184,168,352
20117,KS,Marshall County,149,167,316
20119,KS,Meade County,35,47,82
20121,KS,Miami County,683,672,1355
20123,KS,Mitchell County,91,124,215
20125,KS,Montgomery County,414,551,965
20127,KS,Morris County,96,138,234
20129,KS,Morton County,19,32,51
20131,KS,Nemaha County,135,136,271
20133,KS,Neosho County,176,320,496
20135,KS,Ness County,20,37,57
20137,KS,Norton County,50,103,153
20139,KS,Osage County,176,271,447
20141,KS,Osborne County,58,67,125
20143,KS,Ottawa County,72,98,170
20145,KS,Pawnee County,99,114,213
20147,KS,Phillips County,77,115,192
20149,KS,Pottawatomie County,281,315,596
20151,KS,Pratt County,107,132,239
20153,KS,Rawlins County,36,46,82
20155,KS,Reno County,798,1088,1886
20157,KS,Republic County,59,90,149
20159,KS,Rice County,98,134,232
20161,KS,Riley County,647,777,1424
20163,KS,Rooks County,47,90,137
20165,KS,Rush County,37,37,74
20167,KS,Russell County,88,135,223
20169,KS,Saline County,694,1096,1790
20171,KS,Scott County,53,67,120
20173,KS,Sedgwick County,6729,9007,15736
20175,KS,Seward County,189,256,445
20177,KS,Shawnee County,2285,2943,5228
20179,KS,Sheridan County,55,55,110
20181,KS,Sherman County,83,93,176
20183,KS,Smith County,53,104,157
20185,KS,Stafford County,50,75,125
20187,KS,Stanton County,12,40,52
20189,KS,Stevens County,34,51,85
20191,KS,Sumner County,264,359,623
20193,KS,Thomas County,118,130,248
20195,KS,Trego County,43,54,97
20197,KS,Wabaunsee County,103,105,208
20199,KS,Wallace County,26,22,48
20201,KS,Washington County,87,89,176
20203,KS,Wichita County,26,32,58
20205,KS,Wilson County,126,147,273
20207,KS,Woodson County,46,84,130
20209,KS,Wyandotte County,2701,3863,6564
22001,LA,Acadia Parish,678,1035,1713
22003,LA,Allen Parish,223,231,454
22005,LA,Ascension Parish,1800,2099,3899
22007,LA,Assumption Parish,330,494,824
22009,LA,Avoyelles Parish,507,836,1343
22011,LA,Beauregard Parish,402,454,856
22013,LA,Bienville Parish,217,288,505
22015,LA,Bossier Parish,1530,2061,3591
22017,LA,Caddo Parish,3896,5570,9466
22019,LA,Calcasieu Parish,2819,3058,5877
22021,LA,Caldwell Parish,134,194,328
22023,LA,Cameron Parish,73,117,190
22025,LA,Catahoula Parish,249,265,514
22027,LA,Claiborne Parish,232,290,522
22029,LA,Concordia Parish,243,511,754
22031,LA,De Soto Parish,369,487,856
22033,LA,East Baton Rouge Parish,10389,13155,23544
22035,LA,East Carroll Parish,140,130,270
22037,LA,East Feliciana Parish,356,477,833
22039,LA,Evangeline Parish,296,490,786
22041,LA,Franklin Parish,409,471,880
22043,LA,Grant Parish,209,283,492
22045,LA,Iberia Parish,1015,1313,2328
22047,LA,Iberville Parish,546,902,1448
22049,LA,Jackson Parish,235,306,541
22051,LA,Jefferson Parish,8596,15540,24136
22053,LA,Jefferson Davis Parish,406,802,1208
22055,LA,Lafayette Parish,4068,4390,8458
22057,LA,Lafourche Parish,1109,1614,2723
22059,LA,La Salle Parish,164,176,340
22061,LA,Lincoln Parish,770,866,1636
22063,LA,Livingston Parish,2154,2705,4859
22065,LA,Madison Parish,125,266,391
22067,LA,Morehouse Parish,512,617,1129
22069,LA,Natchitoches Parish,457,715,1172
22071,LA,Orleans Parish,10421,10394,20815
22073,LA,Ouachita Parish,2949,3915,6864
22075,LA,Plaquemines Parish,308,704,1012
22077,LA,Pointe Coupee Parish,383,599,982
22079,LA,Rapides Parish,1712,2339,4051
22081,LA,Red River Parish,89,184,273
22083,LA,Richland Parish,355,491,846
22085,LA,Sabine Parish,256,346,602
22087,LA,St. Bernard Parish,734,1098,1832
22089,LA,St. Charles Parish,757,1017,1774
22091,LA,St. Helena Parish,228,325,553
22093,LA,St. James Parish,294,498,792
22095,LA,St. John the Baptist Parish,820,1107,1927
22097,LA,St. Landry Parish,1239,1830,3069
22099,LA,St. Martin Parish,826,1093,1919
22101,LA,St. Mary Parish,610,1070,1680
22103,LA,St. Tammany Parish,5030,6108,11138
22105,LA,Tangipahoa Parish,2044,2889,4933
22107,LA,Tensas Parish,87,127,214
22109,LA,Terrebonne Parish,1386,1878,3264
22111,LA,Union Parish,416,433,849
22113,LA,Vermilion Parish,885,1051,1936
22115,LA,Vernon Parish,363,455,818
22117,LA,Washington Parish,578,1063,1641
22119,LA,Webster Parish,579,849,1428
22121,LA,West Baton Rouge Parish,407,610,1017
22123,LA,West Carroll Parish,154,160,314
22125,LA,West Feliciana Parish,167,254,421
22127,LA,Winn Parish,171,253,424
23001,ME,Androscoggin County,1662,2491,4153
23003,ME,Aroostook County,1352,2529,3881
23005,ME,Cumberland County,8051,8557,16608
23007,ME,Franklin County,663,1126,1789
23009,ME,Hancock County,2242,2738,4980
23011,ME,Kennebec County,2019,2999,5018
23013,ME,Knox County,1896,2053,3949
23015,ME,Lincoln County,1164,1755,2919
23017,ME,Oxford County,1297,2398,3695
23019,ME,Penobscot County,2435,4288,6723
23021,ME,Piscataquis County,326,554,880
23023,ME,Sagadahoc County,801,1087,1888
23025,ME,Somerset County,775,1409,2184
23027,ME,Waldo County,1255,1662,2917
23029,ME,Washington County,772,1468,2240
23031,ME,York County,4883,6094,10977
26001,MI,Alcona County,193,215,408
26003,MI,Alger County,198,202,400
26005,MI,Allegan County,2089,2231,4320
26007,MI,Alpena County,537,592,1129
26009,MI,Antrim County,524,633,1157
26011,MI,Arenac County,247,295,542
26013,MI,Baraga County,159,165,324
26015,MI,Barry County,864,1132,1996
26017,MI,Bay County,1353,1631,2984
26019,MI,Benzie County,454,495,949
26021,MI,Berrien County,2857,2888,5745
26023,MI,Branch County,725,737,1462
26025,MI,Calhoun County,1495,1865,3360
26027,MI,Cass County,962,915,1877
26029,MI,Charlevoix County,672,657,1329
26031,MI,Cheboygan County,506,707,1213
26033,MI,Chippewa County,428,480,908
26035,MI,Clare County,372,458,830
26037,MI,Clinton County,1184,973,2157
26039,MI,Crawford County,199,251,450
26041,MI,Delta County,838,927,1765
26043,MI,Dickinson County,719,691,1410
26045,MI,Eaton County,1311,1587,2898
26047,MI,Emmet County,1216,953,2169
26049,MI,Genesee County,4804,6152,10956
26051,MI,Gladwin County,337,414,751
26053,MI,Gogebic County,282,435,717
26055,MI,Grand Traverse County,2224,2383,4607
26057,MI,Gratiot County,524,584,1108
26059,MI,Hillsdale County,833,915,1748
26061,MI,Houghton County,760,881,1641
26063,MI,Huron County,689,789,1478
26065,MI,Ingham County,3902,3956,7858
26067,MI,Ionia County,822,929,1751
26069,MI,Iosco County,422,464,886
26071,MI,Iron County,281,388,669
26073,MI,Isabella County,763,876,1639
26075,MI,Jackson County,1918,2319,4237
26077,MI,Kalamazoo County,3758,4178,7936
26079,MI,Kalkaska County,262,326,588
26081,MI,Kent County,9204,11186,20390
26083,MI,Keweenaw County,64,64,128
26085,MI,Lake County,159,224,383
26087,MI,Lapeer County,1581,1868,3449
26089,MI,Leelanau County,808,818,1626
26091,MI,Lenawee County,1502,1524,3026
26093,MI,Livingston County,3610,3656,7266
26095,MI,Luce County,64,88,152
26097,MI,Mackinac County,253,292,545
26099,MI,Macomb County,13890,22685,36575
26101,MI,Manistee County,406,536,942
26103,MI,Marquette County,1137,1390,2527
26105,MI,Mason County,496,670,1166
26107,MI,Mecosta County,449,626,1075
26109,MI,Menominee County,583,642,1225
26111,MI,Midland County,1083,1258,2341
26113,MI,Missaukee County,320,370,690
26115,MI,Monroe County,1771,2136,3907
26117,MI,Montcalm County,874,1181,2055
26119,MI,Montmorency County,132,200,332
26121,MI,Muskegon County,1956,3094,5050
26123,MI,Newaygo County,626,792,1418
26125,MI,Oakland County,24140,28057,52197
26127,MI,Oceana County,394,510,904
26129,MI,Ogemaw County,407,507,914
26131,MI,Ontonagon County,140,177,317
26133,MI,Osceola County,358,481,839
26135,MI,Oscoda County,149,190,339
26137,MI,Otsego County,562,583,1145
26139,MI,Ottawa County,4476,4336,8812
26141,MI,Presque Isle County,287,343,630
26143,MI,Roscommon County,387,483,870
26145,MI,Saginaw County,2190,2994,5184
26147,MI,St. Clair County,2802,3402,6204
26149,MI,St. Joseph County,791,944,1735
26151,MI,Sanilac County,806,1005,1811
26153,MI,Schoolcraft County,168,177,345
26155,MI,Shiawassee County,949,1135,2084
26157,MI,Tuscola County,824,976,1800
26159,MI,Van Buren County,1302,1516,2818
26161,MI,Washtenaw County,6446,6443,12889
26163,MI,Wayne County,20554,30841,51395
26165,MI,Wexford County,564,747,1311
29001,MO,Adair County,369,472,841
29003,MO,Andrew County,250,334,584
29005,MO,Atchison County,97,141,238
29007,MO,Audrain County,309,480,789
29009,MO,Barry County,600,1137,1737
29011,MO,Barton County,201,350,551
29013,MO,Bates County,316,485,801
29015,MO,Benton County,393,610,1003
29017,MO,Bollinger County,181,377,558
29019,MO,Boone County,2694,3273,5967
29021,MO,Buchanan County,981,1366,2347
29023,MO,Butler County,521,814,1335
29025,MO,Caldwell County,115,190,305
29027,MO,Callaway County,556,664,1220
29029,MO,Camden County,978,1396,2374
29031,MO,Cape Girardeau County,1045,1247,2292
29033,MO,Carroll County,144,251,395
29035,MO,Carter County,92,179,271
29037,MO,Cass County,1847,2307,4154
29039,MO,Cedar County,189,358,547
29041,MO,Chariton County,118,218,336
29043,MO,Christian County,1794,2767,4561
29045,MO,Clark County,86,166,252
29047,MO,Clay County,3811,4844,8655
29049,MO,Clinton County,235,413,648
29051,MO,Cole County,771,1231,2002
29053,MO,Cooper County,229,408,637
29055,MO,Crawford County,328,559,887
29057,MO,Dade County,125,248,373
29059,MO,Dallas County,310,656,966
29061,MO,Daviess County,111,163,274
29063,MO,DeKalb County,154,233,387
29065,MO,Dent County,184,320,504
29067,MO,Douglas County,310,548,858
29069,MO,Dunklin County,434,581,1015
29071,MO,Franklin County,1771,2511,4282
29073,MO,Gasconade County,262,447,709
29075,MO,Gentry County,108,233,341
29077,MO,Greene County,5457,9205,14662
29079,MO,Grundy County,101,147,248
29081,MO,Harrison County,87,227,314
29083,MO,Henry County,349,521,870
29085,MO,Hickory County,166,300,466
29087,MO,Holt County,85,111,196
29089,MO,Howard County,185,252,437
29091,MO,Howell County,634,1179,1813
29093,MO,Iron County,133,191,324
29095,MO,Jackson County,12998,15968,28966
29097,MO,Jasper County,1554,2234,3788
29099,MO,Jefferson County,3912,5493,9405
29101,MO,Johnson County,641,920,1561
29103,MO,Knox County,59,144,203
29105,MO,Laclede County,751,1573,2324
29107,MO,Lafayette County,608,1021,1629
29109,MO,Lawrence County,595,1010,1605
29111,MO,Lewis County,171,221,392
29113,MO,Lincoln County,793,984,1777
29115,MO,Linn County,174,298,472
29117,MO,Livingston County,233,298,531
29119,MO,McDonald County,321,440,761
29121,MO,Macon County,261,352,613
29123,MO,Madison County,167,267,434
29125,MO,Maries County,79,183,262
29127,MO,Marion County,456,649,1105
29129,MO,Mercer County,35,84,119
29131,MO,Miller County,438,650,1088
29133,MO,Mississippi County,181,218,399
29135,MO,Moniteau County,167,259,426
29137,MO,Monroe County,142,211,353
29139,MO,Montgomery County,164,256,420
29141,MO,Morgan County,342,533,875
29143,MO,New Madrid County,211,351,562
29145,MO,Newton County,840,1228,2068
29147,MO,Nodaway County,364,486,850
29149,MO,Oregon County,180,322,502
29151,MO,Osage County,142,259,401
29153,MO,Ozark County,160,328,488
29155,MO,Pemiscot County,266,458,724
29157,MO,Perry County,249,332,581
29159,MO,Pettis County,563,1094,1657
29161,MO,Phelps County,493,870,1363
29163,MO,Pike County,269,343,612
29165,MO,Platte County,1679,1825,3504
29167,MO,Polk County,557,854,1411
29169,MO,Pulaski County,361,525,886
29171,MO,Putnam County,61,129,190
29173,MO,Ralls County,155,235,390
29175,MO,Randolph County,260,461,721
29177,MO,Ray County,437,602,1039
29179,MO,Reynolds County,79,140,219
29181,MO,Ripley County,152,283,435
29183,MO,St. Charles County,6101,7649,13750
29185,MO,St. Clair County,138,271,409
29186,MO,Ste. Genevieve County,260,336,596
29187,MO,St. Francois County,689,1133,1822
29189,MO,St. Louis County,22407,25911,48318
29195,MO,Saline County,276,377,653
29197,MO,Schuyler County,61,114,175
29199,MO,Scotland County,90,148,238
29201,MO,Scott County,442,699,1141
29203,MO,Shannon County,222,405,627
29205,MO,Shelby County,131,251,382
29207,MO,Stoddard County,379,603,982
29209,MO,Stone County,908,1365,2273
29211,MO,Sullivan County,77,124,201
29213,MO,Taney County,1473,2433,3906
29215,MO,Texas County,290,622,912
29217,MO,Vernon County,312,439,751
29219,MO,Warren County,472,596,1068
29221,MO,Washington County,254,452,706
29223,MO,Wayne County,163,335,498
29225,MO,Webster County,644,1357,2001
29227,MO,Worth County,57,72,129
29229,MO,Wright County,317,654,971
29510,MO,St. Louis city,7887,9577,17464
28001,MS,Adams County,275,1051,1326
28003,MS,Alcorn County,160,750,910
28005,MS,Amite County,111,348,459
28007,MS,Attala County,98,441,539
28009,MS,Benton County,42,172,214
28011,MS,Bolivar County,253,1099,1352
28013,MS,Calhoun County,71,285,356
28015,MS,Carroll County,56,212,268
28017,MS,Chickasaw County,138,426,564
28019,MS,Choctaw County, . , . ,159
28021,MS,Claiborne County,86,267,353
28023,MS,Clarke County,112,309,421
28025,MS,Clay County,136,464,600
28027,MS,Coahoma County,184,531,715
28029,MS,Copiah County,292,916,1208
28031,MS,Covington County,152,543,695
28033,MS,DeSoto County,2060,4296,6356
28035,MS,Forrest County,594,1792,2386
28037,MS,Franklin County,56,239,295
28039,MS,George County,116,259,375
28041,MS,Greene County,79,232,311
28043,MS,Grenada County,130,616,746
28045,MS,Hancock County,340,1336,1676
28047,MS,Harrison County,1294,3234,4528
28049,MS,Hinds County,4376,15635,20011
28051,MS,Holmes County,134,644,778
28053,MS,Humphreys County,65,285,350
28055,MS,Issaquena County, . , . ,21
28057,MS,Itawamba County,106,313,419
28059,MS,Jackson County,939,2505,3444
28061,MS,Jasper County,110,471,581
28063,MS,Jefferson County,79,345,424
28065,MS,Jefferson Davis County,60,333,393
28067,MS,Jones County,354,1532,1886
28069,MS,Kemper County,83,263,346
28071,MS,Lafayette County,326,696,1022
28073,MS,Lamar County,414,1070,1484
28075,MS,Lauderdale County,558,1533,2091
28077,MS,Lawrence County,102,426,528
28079,MS,Leake County,132,436,568
28081,MS,Lee County,618,1451,2069
28083,MS,Leflore County,200,771,971
28085,MS,Lincoln County,255,898,1153
28087,MS,Lowndes County,364,1386,1750
28089,MS,Madison County,1540,4210,5750
28091,MS,Marion County,180,807,987
28093,MS,Marshall County,327,985,1312
28095,MS,Monroe County,199,619,818
28097,MS,Montgomery County,61,261,322
28099,MS,Neshoba County,138,320,458
28101,MS,Newton County,100,418,518
28103,MS,Noxubee County,84,276,360
28105,MS,Oktibbeha County,257,717,974
28107,MS,Panola County,246,745,991
28109,MS,Pearl River County,443,1300,1743
28111,MS,Perry County,85,253,338
28113,MS,Pike County,331,1168,1499
28115,MS,Pontotoc County,183,442,625
28117,MS,Prentiss County,117,417,534
28119,MS,Quitman County,59,167,226
28121,MS,Rankin County,1826,4065,5891
28123,MS,Scott County,174,489,663
28125,MS,Sharkey County,50,168,218
28127,MS,Simpson County,200,610,810
28129,MS,Smith County,122,378,500
28131,MS,Stone County,93,234,327
28133,MS,Sunflower County,190,884,1074
28135,MS,Tallahatchie County,87,317,404
28137,MS,Tate County,209,685,894
28139,MS,Tippah County,105,341,446
28141,MS,Tishomingo County,100,407,507
28143,MS,Tunica County,102,297,399
28145,MS,Union County,136,409,545
28147,MS,Walthall County,120,609,729
28149,MS,Warren County,357,1090,1447
28151,MS,Washington County,348,1521,1869
28153,MS,Wayne County,113,651,764
28155,MS,Webster County,57,141,198
28157,MS,Wilkinson County,84,297,381
28159,MS,Winston County,123,671,794
28161,MS,Yalobusha County,79,222,301
28163,MS,Yazoo County,212,594,806
30001,MT,Beaverhead County,215,286,501
30003,MT,Big Horn County,139,225,364
30005,MT,Blaine County,89,225,314
30007,MT,Broadwater County,157,105,262
30009,MT,Carbon County,375,435,810
30011,MT,Carter County,40,37,77
30013,MT,Cascade County,1307,1572,2879
30015,MT,Chouteau County,146,211,357
30017,MT,Custer County,184,226,410
30019,MT,Daniels County,37,45,82
30021,MT,Dawson County,215,221,436
30023,MT,Deer Lodge County,171,162,333
30025,MT,Fallon County,45,55,100
30027,MT,Fergus County,322,375,697
30029,MT,Flathead County,3115,3256,6371
30031,MT,Gallatin County,4269,3557,7826
30033,MT,Garfield County,80,74,154
30035,MT,Glacier County,121,163,284
30037,MT,Golden Valley County,27,27,54
30039,MT,Granite County,99,127,226
30041,MT,Hill County,300,433,733
30043,MT,Jefferson County,250,244,494
30045,MT,Judith Basin County,74,70,144
30047,MT,Lake County,705,871,1576
30049,MT,Lewis and Clark County,1318,1416,2734
30051,MT,Liberty County,55,100,155
30053,MT,Lincoln County,466,589,1055
30055,MT,McCone County,64,38,102
30057,MT,Madison County,353,371,724
30059,MT,Meagher County,46,54,100
30061,MT,Mineral County,103,149,252
30063,MT,Missoula County,3761,3955,7716
30065,MT,Musselshell County,109,92,201
30067,MT,Park County,683,691,1374
30069,MT,Petroleum County,24,23,47
30071,MT,Phillips County,125,130,255
30073,MT,Pondera County,108,119,227
30075,MT,Powder River County,61,62,123
30077,MT,Powell County,113,90,203
30079,MT,Prairie County,40,28,68
30081,MT,Ravalli County,1264,1316,2580
30083,MT,Richland County,154,143,297
30085,MT,Roosevelt County,161,350,511
30087,MT,Rosebud County,95,115,210
30089,MT,Sanders County,349,398,747
30091,MT,Sheridan County,121,74,195
30093,MT,Silver Bow County,672,833,1505
30095,MT,Stillwater County,168,190,358
30097,MT,Sweet Grass County,144,165,309
30099,MT,Teton County,188,190,378
30101,MT,Toole County,78,150,228
30103,MT,Treasure County,29,20,49
30105,MT,Valley County,178,217,395
30107,MT,Wheatland County,58,53,111
30109,MT,Wibaux County,29,28,57
30111,MT,Yellowstone County,2757,2753,5510
37001,NC,Alamance County,2529,4641,7170
37003,NC,Alexander County,701,1479,2180
37005,NC,Alleghany County,204,561,765
37007,NC,Anson County,374,833,1207
37009,NC,Ashe County,526,1425,1951
37011,NC,Avery County,357,1064,1421
37013,NC,Beaufort County,700,2759,3459
37015,NC,Bertie County,223,593,816
37017,NC,Bladen County,541,1338,1879
37019,NC,Brunswick County,2514,4982,7496
37021,NC,Buncombe County,8077,13231,21308
37023,NC,Burke County,1499,2565,4064
37025,NC,Cabarrus County,4653,6523,11176
37027,NC,Caldwell County,1498,2807,4305
37029,NC,Camden County,139,240,379
37031,NC,Carteret County,1397,3216,4613
37033,NC,Caswell County,288,782,1070
37035,NC,Catawba County,3365,5974,9339
37037,NC,Chatham County,1485,2244,3729
37039,NC,Cherokee County,477,1113,1590
37041,NC,Chowan County,236,425,661
37043,NC,Clay County,231,480,711
37045,NC,Cleveland County,1797,2851,4648
37047,NC,Columbus County,801,2163,2964
37049,NC,Craven County,1173,3343,4516
37051,NC,Cumberland County,3966,9071,13037
37053,NC,Currituck County,568,802,1370
37055,NC,Dare County,1461,2324,3785
37057,NC,Davidson County,2634,5854,8488
37059,NC,Davie County,693,1508,2201
37061,NC,Duplin County,555,2053,2608
37063,NC,Durham County,6793,8336,15129
37065,NC,Edgecombe County,639,1864,2503
37067,NC,Forsyth County,6142,13718,19860
37069,NC,Franklin County,1131,2447,3578
37071,NC,Gaston County,3900,6210,10110
37073,NC,Gates County,138,198,336
37075,NC,Graham County,121,351,472
37077,NC,Granville County,937,1635,2572
37079,NC,Greene County,261,644,905
37081,NC,Guilford County,11423,20835,32258
37083,NC,Halifax County,633,1820,2453
37085,NC,Harnett County,1525,3393,4918
37087,NC,Haywood County,1242,2382,3624
37089,NC,Henderson County,2431,3998,6429
37091,NC,Hertford County,241,601,842
37093,NC,Hoke County,484,1626,2110
37095,NC,Hyde County,123,240,363
37097,NC,Iredell County,4407,6651,11058
37099,NC,Jackson County,652,1083,1735
37101,NC,Johnston County,2934,5761,8695
37103,NC,Jones County,141,387,528
37105,NC,Lee County,857,1910,2767
37107,NC,Lenoir County,702,1694,2396
37109,NC,Lincoln County,1605,2522,4127
37111,NC,McDowell County,657,1593,2250
37113,NC,Macon County,827,1730,2557
37115,NC,Madison County,475,1042,1517
37117,NC,Martin County,341,1078,1419
37119,NC,Mecklenburg County,27649,42276,69925
37121,NC,Mitchell County,322,822,1144
37123,NC,Montgomery County,326,755,1081
37125,NC,Moore County,1724,3413,5137
37127,NC,Nash County,1503,3229,4732
